id_mp,sex,name
2,1,Домбровський Олександр Георгійович
3,1,Порошенко Олексій Петрович
4,1,Юрчишин Петро Васильович
5,1,Мельничук Іван Іванович
6,1,Спориш Іван Дмитрович
7,1,Македон Юрій Миколайович
8,1,Кучер Микола Іванович
9,1,Демчак Руслан Євгенійович
10,1,Гузь Ігор Володимирович
11,1,Мартиняк Сергій Васильович
12,1,Івахів Степан Петрович
13,1,Лапін Ігор Олександрович
14,1,Єремеєв Ігор Миронович
15,1,Безбах Яків Якович
16,1,Курячий Максим Павлович
17,1,Денисенко Андрій Сергійович
18,1,Куліченко Іван Іванович
19,1,Купрій Віталій Миколайович
20,1,Дубінін Олександр Іванович
21,1,Гальченко Андрій Володимирович
22,1,Усов Костянтин Глібович
23,1,Кришин Олег Юрійович
24,1,Шипко Андрій Федорович
25,1,Шпенов Дмитро Юрійович
26,1,Ярош Дмитро Анатолійович
27,1,Дідич Валентин Володимирович
28,1,Звягільський Юхим Леонідович
29,1,Клюєв Сергій Петрович
30,1,Солод Юрій Васильович
31,1,Єфімов Максим Вікторович
32,1,Омельянович Денис Сергійович
33,1,Гєллєр Євгеній Борисович
34,1,Шкіря Ігор Миколайович
35,1,Недава Олег Анатолійович
36,1,Матвієнков Сергій Анатолійович
37,1,Тарута Сергій Олексійович
38,1,Лубінець Дмитро Валерійович
39,1,Розенблат Борислав Соломонович
40,1,Арешонков Володимир Юрійович
41,1,Литвин Володимир Михайлович
42,1,Дзюблик Павло Володимирович
43,1,Развадовський Віктор Йосипович
44,1,Горват Роберт Іванович
45,1,Балога Віктор Іванович
46,1,Ланьо Михайло Іванович
47,1,Балога Павло Іванович
48,1,Петьовка Василь Васильович
49,1,Балога Іван Іванович
50,1,Сабашук Петро Павлович
51,1,Артюшенко Ігор Андрійович
52,1,Фролов Микола Олександрович
53,1,Богуслаєв Вячеслав Олександрович
54,1,Пономарьов Олександр Сергійович
55,1,Бандуров Володимир Володимирович
56,1,Балицький Євген Віталійович
57,1,Валентиров Сергій Васильович
58,1,Кривохатько Вадим Вікторович
59,1,Шевченко Олександр Леонідович
60,1,Довбенко Михайло Володимирович
61,1,Дирів Анатолій Борисович
62,1,Дерев'янко Юрій Богданович
63,1,Тимошенко Юрій Володимирович
64,1,Соловей Юрій Ігорович
65,1,Марченко Олександр Олександрович
66,1,Гудзенко Віталій Іванович
67,1,Онищенко Олександр Романович
68,1,Романюк Віктор Миколайович
69,1,Гаврилюк Михайло Віталійович
70,1,Москаленко Ярослав Миколайович
71,1,Різаненко Павло Олександрович
72,1,Міщенко Сергій Григорович
73,1,Яриніч Костянтин Володимирович
74,1,Березкін Станіслав Семенович
75,1,Поплавський Михайло Михайлович
76,1,Довгий Олесь Станіславович
77,1,Кузьменко Анатолій Іванович
78,1,Бакулін Євген Миколайович
79,1,Дунаєв Сергій Володимирович
80,1,Іоффе Юлій Якович
81,1,Гарбуз Юрій Григорійович
82,1,Добродомов Дмитро Євгенович
83,1,Дубневич Богдан Васильович
84,1,Бондар Михайло Леонтійович
85,1,Дубневич Ярослав Васильович
86,1,Матківський Богдан Миронович
87,1,Парасюк Володимир Зіновійович
88,1,Батенко Тарас Іванович
89,1,Мусій Олег Степанович
90,1,Лопушанський Андрій Ярославович
91,1,Кіт Андрій Богданович
